Time,Discharge(m^3 s^-1),Max,Min
2003-07-01,0.0,0.0,0.0
2003-07-02,0.0,0.0,0.0
2003-07-03,0.0,0.03,0.0
2003-07-04,0.025,0.03,0.01
2003-07-05,0.01,0.01,0.01
2003-07-06,0.0,0.01,0.0
2003-07-07,0.0,0.0,0.0
2003-07-08,0.0,0.0,0.0
2003-07-09,0.0,0.0,0.0
2003-07-10,0.0,0.0,0.0
2003-07-11,0.0,0.0,0.0
2003-07-12,0.0,0.0,0.0
2003-07-13,0.0,0.0,0.0
2003-07-14,0.0,0.03,0.0
2003-07-15,0.035,0.04,0.02
2003-07-16,0.025,0.05,0.02
2003-07-17,0.065,0.09,0.04
2003-07-18,0.04,0.07,0.03
2003-07-19,0.05,0.06,0.03
2003-07-20,0.025,0.04,0.02
2003-07-21,0.025,0.03,0.02
2003-07-22,0.02,0.03,0.02
2003-07-23,0.01,0.02,0.01
2003-07-24,0.01,0.01,0.01
2003-07-25,0.01,0.01,0.01
2003-07-26,0.01,0.01,0.01
2003-07-27,0.01,0.01,0.01
2003-07-28,0.115,0.15,0.02
2003-07-29,0.05,0.07,0.04
2003-07-30,0.025,0.03,0.02
2003-07-31,0.02,0.02,0.01
2003-08-01,0.01,0.01,0.01
2003-08-02,0.01,0.01,0.01
2003-08-03,0.01,0.01,0.01
2003-08-04,0.01,0.01,0.01
2003-08-05,0.01,0.01,0.01
2003-08-06,0.01,0.01,0.01
2003-08-07,0.01,0.01,0.01
2003-08-08,0.01,0.01,0.01
2003-08-09,0.01,0.01,0.01
2003-08-10,0.01,0.01,0.01
2003-08-11,0.034999999999999996,0.06,0.01
2003-08-12,0.035,0.05,0.03
2003-08-13,0.025,0.03,0.02
2003-08-14,0.02,0.02,0.01
2003-08-15,0.155,0.3,0.01
2003-08-16,0.1,0.16,0.07
2003-08-17,0.045,0.07,0.04
2003-08-18,0.03,0.04,0.03
2003-08-19,0.02,0.05,0.02
2003-08-20,0.48,0.66,0.06
2003-08-21,0.18,0.29,0.12
2003-08-22,0.09,0.12,0.07
2003-08-23,0.32,0.61,0.06
2003-08-24,0.195,0.31,0.13
2003-08-25,0.095,0.13,0.07
2003-08-26,0.06,0.13,0.05
2003-08-27,0.10500000000000001,0.15,0.07
2003-08-28,0.055,0.07,0.05
2003-08-29,0.04,0.05,0.04
2003-08-30,0.095,0.27,0.04
2003-08-31,0.14,0.26,0.09
2003-09-01,0.07,0.09,0.06
2003-09-02,0.045,0.06,0.04
2003-09-03,0.04,0.04,0.04
2003-09-04,0.11,0.69,0.04
2003-09-05,0.44499999999999995,0.79,0.29
2003-09-06,0.335,0.82,0.26
2003-09-07,0.615,1.06,0.34
2003-09-08,0.22,0.33,0.16
2003-09-09,0.115,0.16,0.1
2003-09-10,0.125,0.25,0.11
2003-09-11,0.235,0.33,0.15
2003-09-12,0.115,0.15,0.1
2003-09-13,0.15,0.15,0.12
2003-09-14,0.14,0.41,0.1
2003-09-15,0.225,0.41,0.18
2003-09-16,0.74,1.19,0.33
2003-09-17,0.39,0.64,0.3
2003-09-18,0.2,0.29,0.15
2003-09-19,0.25,0.32,0.15
2003-09-20,0.14500000000000002,0.18,0.12
2003-09-21,0.10500000000000001,0.12,0.09
2003-09-22,0.08499999999999999,0.09,0.08
2003-09-23,0.125,0.17,0.08
2003-09-24,0.2,0.41,0.12
2003-09-25,0.33999999999999997,0.5,0.25
2003-09-26,0.275,0.49,0.2
2003-09-27,0.15500000000000003,0.19,0.13
2003-09-28,0.43,0.88,0.12
2003-09-29,0.275,0.41,0.2
2003-09-30,0.625,1.14,0.18
2003-10-01,0.4,0.64,0.28
2003-10-02,0.33999999999999997,0.49,0.24
2003-10-03,0.23,0.32,0.18
2003-10-04,0.15000000000000002,0.18,0.13
2003-10-05,0.11499999999999999,0.13,0.11
2003-10-06,0.29500000000000004,0.5,0.11
