Time,Discharge(m^3 s^-1),Max,Min
2003-07-01,0.0,0.0,0.0
2003-07-02,0.0,0.0,0.0
2003-07-03,0.0,0.0,0.0
2003-07-04,0.0,0.0,0.0
2003-07-05,0.0,0.0,0.0
2003-07-06,0.0,0.0,0.0
2003-07-07,0.0,0.0,0.0
2003-07-08,0.0,0.0,0.0
2003-07-09,0.0,0.0,0.0
2003-07-10,0.0,0.0,0.0
2003-07-11,0.0,0.0,0.0
2003-07-12,0.0,0.0,0.0
2003-07-13,0.0,0.0,0.0
2003-07-14,0.0,0.0,0.0
2003-07-15,0.0,0.01,0.0
2003-07-16,0.01,0.03,0.01
2003-07-17,0.15000000000000002,0.26,0.03
2003-07-18,0.5549999999999999,0.88,0.26
2003-07-19,1.33,1.65,0.9
2003-07-20,1.925,2.1,1.67
2003-07-21,2.325,2.52,2.11
2003-07-22,2.59,2.68,2.52
2003-07-23,2.8499999999999996,2.9,2.68
2003-07-24,2.77,2.89,2.7
2003-07-25,2.9299999999999997,3.3,2.71
2003-07-26,3.88,4.32,3.32
2003-07-27,4.625,4.76,4.34
2003-07-28,4.705,4.76,4.59
2003-07-29,4.4,4.58,4.28
2003-07-30,4.475,5.02,4.27
2003-07-31,6.705,8.72,5.07
2003-08-01,11.405000000000001,13.42,8.83
2003-08-02,15.255,16.59,13.5
2003-08-03,18.035,19.24,16.65
2003-08-04,20.54,21.56,19.3
2003-08-05,22.855,24.07,21.6
2003-08-06,25.634999999999998,26.93,24.13
2003-08-07,28.14,28.88,26.98
2003-08-08,29.4,29.93,28.9
2003-08-09,31.435,33.25,29.96
2003-08-10,34.69499999999999,35.0,33.34
2003-08-11,32.46,34.58,30.05
2003-08-12,27.060000000000002,29.93,24.73
2003-08-13,22.48,24.63,20.84
2003-08-14,19.229999999999997,20.78,17.97
2003-08-15,16.615000000000002,17.92,15.53
2003-08-16,14.379999999999999,15.48,13.48
2003-08-17,12.565,13.45,11.86
2003-08-18,11.08,11.83,10.44
2003-08-19,9.8,10.42,9.35
2003-08-20,9.09,9.33,9.03
2003-08-21,8.985,9.04,8.83
2003-08-22,8.565000000000001,8.82,8.43
2003-08-23,8.585,8.89,8.43
2003-08-24,9.65,10.68,8.91
2003-08-25,12.86,15.1,10.75
2003-08-26,18.240000000000002,21.04,15.21
2003-08-27,23.935000000000002,25.78,21.17
2003-08-28,27.18,28.72,25.84
2003-08-29,32.175,35.54,28.82
2003-08-30,38.515,40.15,35.68
2003-08-31,41.215,41.97,40.2
2003-09-01,42.61,42.81,42.01
2003-09-02,41.565,42.74,39.66
2003-09-03,36.305,39.55,33.24
2003-09-04,29.785,33.1,27.12
2003-09-05,24.455,27.0,22.45
2003-09-06,20.455,22.36,18.99
2003-09-07,17.73,18.93,16.94
2003-09-08,16.28,16.91,15.71
2003-09-09,14.855,15.68,14.07
2003-09-10,13.125,14.03,12.34
2003-09-11,11.45,12.3,10.73
2003-09-12,9.975,10.7,9.39
2003-09-13,8.77,9.36,8.28
2003-09-14,7.765,8.26,7.36
2003-09-15,6.95,7.35,6.63
2003-09-16,6.315,6.62,6.07
2003-09-17,5.845,6.06,5.68
2003-09-18,5.515000000000001,5.67,5.38
2003-09-19,5.24,5.38,5.12
2003-09-20,5.045,5.12,5.03
2003-09-21,5.415,5.92,5.08
2003-09-22,6.895,8.0,5.95
2003-09-23,10.05,12.01,8.07
2003-09-24,13.825,14.92,12.1
